CreateMeshBuilder
AddVertex,-2.6, 5.0, 0
AddVertex,-2.6, 5.0, 25
AddVertex,-2.6, 0, 25
AddVertex,-2.6, 0, 0
AddFace2, 0, 1, 2, 3
GenerateNormals
LoadTexture, TunnelWall.bmp
SetTextureCoordinates, 0, 1, 0
SetTextureCoordinates, 1, 0, 0
SetTextureCoordinates, 2, 0, 1
SetTextureCoordinates, 3, 1, 1

CreateMeshBuilder
AddVertex,-2.6, 0, 0
AddVertex,-2.6, 0, 25
AddVertex,-1.9, -0.55, 25
AddVertex,-1.9, -0.55, 0
AddFace2, 0, 1, 2, 3
GenerateNormals
LoadTexture, TunnelWall.bmp
SetTextureCoordinates, 0, 1, 0
SetTextureCoordinates, 1, 0, 0
SetTextureCoordinates, 2, 0, 0.1
SetTextureCoordinates, 3, 1, 0.1

CreateMeshBuilder
AddVertex,-1.9, 6, 0
AddVertex,-1.9, 6, 25
AddVertex,-2.6, 5, 25
AddVertex,-2.6, 5, 0
AddFace2, 0, 1, 2, 3
GenerateNormals
LoadTexture, TunnelWall.bmp
SetTextureCoordinates, 0, 1, 0
SetTextureCoordinates, 1, 0, 0
SetTextureCoordinates, 2, 0, 0.1
SetTextureCoordinates, 3, 1, 0.1

CreateMeshBuilder
AddVertex,-2.6, 6.0, 0
AddVertex,-2.6, 6.0, 25
AddVertex,20, 6.0, 25
AddVertex,20, 6.0, 0
AddFace2, 0, 1, 2, 3
GenerateNormals
LoadTexture, TunnelWall.bmp
SetTextureCoordinates, 0, 1, 0
SetTextureCoordinates, 1, 0, 0
SetTextureCoordinates, 2, 0, 0.1
SetTextureCoordinates, 3, 1, 0.1

CreateMeshBuilder
AddVertex,-2.6, -0.55, 0
AddVertex,-2.6,-0.55, 25
AddVertex,20, -0.55, 25
AddVertex,20, -0.55, 0
AddFace2, 0, 1, 2, 3
GenerateNormals
LoadTexture, TunnelWall.bmp
SetTextureCoordinates, 0, 1, 0
SetTextureCoordinates, 1, 0, 0
SetTextureCoordinates, 2, 0, 0.1
SetTextureCoordinates, 3, 1, 0.1

CreateMeshBuilder
Cube, 0.02 [, 0.05, 1]
Translate,-2.59, 3.65, 12.5
GenerateNormals
